,Structure,Fréquence
1336,nc adj prep adj nc adj,11
863,np nc prep det nc adj,11
573,nc prep nc v prep nc prep nc,11
663,nc adj v prep nc np,11
662,nc prep nc np prep nc np,11
618,nc prep nc adj adj nc,11
1231,np nc v,11
116,nc prep nc prep det nc prep nc adj,11
2885,nc v prep adj nc prep nc np,11
1034,nc np adj nc,11
287,nc prep nc v prep prep nc,11
546,nc prep nc csu nc adj,10
134,nc v prep det nc prep np,10
812,nc prep adj adj,10
2690,nc np prep det np,10
1921,nc prep nc prep det nc adj prep nc prep det nc prep nc np,10
1157,np np nc prep nc,10
1071,nc prep nc adj prep adj nc,10
26,nc nc prep nc nc adj,10
3254,adj nc adj adj prep nc,10
1923,nc prep nc prep det nc nc prep nc prep det nc prep nc np,10
2735,np np v prep det nc nc,10
157,nc v adv,10
579,nc prep nc v prep np,10
185,nc prep nc prep nc csu prep nc prep nc,10
1947,nc prep adj nc np,10
1105,adj prep adj nc,10
795,nc pro v prep det nc np,10
3210,np nc nc np v np,10
882,nc prep det nc adj np,10
933,nc prep det nc adj prep det nc adj,10
433,np np v nc,10
874,np prep det nc,10
1910,nc adj prep det nc prep nc adj,10
1659,nc nc prep adj np,10
675,np v prep nc,10
1270,nc prep nc prep nc adv adj,10
84,nc adj prep v,10
687,nc prep det nc csu prep det nc,10
905,nc prep det nc prep,10
3207,nc nc nc adj prep nc np,10
1207,nc prep det nc adj prep nc np,10
708,nc prep v prep nc,9
2459,nc nc adj prep nc nc,9
1021,adj adj adj,9
1100,nc prep det np nc,9
1238,nc prep det adj nc adj,9
1745,np nc prep,9
2687,v v nc,9
1244,nc csu nc prep det nc,9
621,adv v,9
1337,nc nc prep adj nc,9
1099,nc prep det nc np prep nc,9
740,nc adj prep nc prep nc prep det nc,9
309,nc prep det nc prep adj,9
337,nc v prep det adj,9
1425,nc prep adj nc nc,9
1259,nc nc prep nc prep det nc adj,9
1607,nc prep det nc prep det nc prep nc,9
2372,nc adj adj prep nc adj adj,9
1060,nc adj adj adj prep nc,9
1322,nc adj prep nc nc nc,9
354,np adj nc adj,9
1067,nc prep nc prep det nc adj prep nc,9
847,nc prep nc v prep det nc adj,9
172,nc prep nc np nc,9
1048,np nc np adj,9
474,adj nc adj prep nc prep nc,9
587,nc v prep nc nc,9
2093,nc np prep nc prep nc np,9
575,nc prep nc prep nc prep nc np,9
981,np np np adj,9
1142,adj prep nc prep nc adj,9
1495,nc prep np prep np,9
719,adj np,9
1953,nc adj adj np adj,9
972,v prep nc adj adj,9
1494,nc np np np np,9
450,nc nc np adj,9
3051,np nc nc nc nc,9
434,nc adj prep det nc adj prep np,9
1124,nc np nc nc,9
623,nc np nc adj,9
2509,nc prep nc np prep det nc prep np,9
642,np adj adj,9
859,v prep det adj nc adj,9
304,nc prep nc prep det nc prep det nc,9
3218,nc prep nc nc nc v,9
1323,nc prep nc nc nc,8
149,nc prep prep np,8
2353,nc adj adj prep adj nc,8
870,nc nc prep det nc prep nc,8
3475,np np prep nc prep nc nc,8
849,nc adv,8
1377,nc np prep nc adj nc,8
3045,nc prep nc prep np adj adj,8
805,nc adj np v,8
716,nc prep det nc prep v,8
2180,nc nc adj prep nc csu prep det nc,8
2688,nc prep nc np prep det nc,8
2278,nc adj np prep det nc prep nc prep nc,8
3506,nc prep nc prep det nc prep nc np,8
1371,nc adj prep det nc nc prep nc,8
2532,nc np prep nc prep nc adj,8
1981,nc adj prep nc adj adj nc,8
1218,nc pro,8
930,prep nc,8
971,v prep nc prep det nc,8
968,nc adj nc prep nc prep nc,8
1918,nc prep nc prep nc adj prep nc np,8
3351,nc prep det nc prep prep nc prep nc nc prep nc nc,8
3352,nc prep det nc prep prep nc prep nc nc prep nc np,8
3353,nc prep det nc prep prep adj nc prep nc np,8
2580,nc v prep nc prep det np,8
2586,nc nc prep nc prep det np,8
