,Structure,Fréquence
4618,NOM PRP:det NUM ADJ,1
6161,NOM PRP DET:ART NOM PRP:det NOM ADJ PRP:det NOM,1
6160,ADJ PUN NOM ADJ VER:ppre PUN,1
4497,NAM PUN NAM PUN NOM PUN,1
4616,NOM ADJ PRP VER:simp,1
6060,NOM PRP NOM VER:ppre VER:pper,1
4295,NOM ADJ PRP ADJ NOM PRP DET:ART NOM,1
4367,VER:simp ADJ NOM PUN VER:simp PUN,1
6136,NOM PRP:det NOM ADJ ADV VER:ppre ADV PRP VER:infi DET:ART NOM ADJ ADJ PRP ADJ NOM,1
4615,NOM PRP NOM ADJ PRP DET:ART ADJ NOM,1
4365,ADJ PRP NUM NOM ADV ADJ,1
4613,NOM PRP NOM PRP NOM DET:ART NOM ADJ,1
4498,NOM PUN NOM VER:pper PRP:det NOM PUN,1
4612,NOM NAM NOM VER:pper ADV,1
4611,VER:pper ADJ PRP:det NOM ADJ,1
6061,ABR NOM ADJ PRP DET:ART NOM,1
6063,NAM VER:futu VER:pper,1
6137,NOM ADJ ADJ ADV VER:ppre ADV PRP VER:infi DET:ART NAM,1
4609,NOM ADJ VER:pper PRP DET:ART NOM PRO:PER,1
4296,NOM PRP ADJ NOM PRP DET:ART NOM ADJ,1
4576,ABR PUN NOM ADJ PRP:det NOM PUN,1
5595,NOM NUM PRP:det NOM PRP NOM NAM,1
4700,ADJ NOM PUN NOM NAM NAM ADJ PUN,1
5314,NOM ADJ PRP DET:ART NOM KON DET:ART ADJ NOM PRP NOM PRP:det NAM,1
5769,NOM PRP:det NOM ADJ PRP NOM PRP:det NOM,1
5305,NOM ADJ ADJ PRP DET:ART NOM PRP DET:ART NOM KON PRP:det NOM ADJ,1
5306,NOM ADJ PRP DET:ART NOM PRP DET:ART NOM KON PRP:det NOM ADJ,1
5307,NOM ADJ PRP DET:ART NOM PRP DET:ART NOM KON PRP:det NOM ADJ PRP:det VER:simp,1
5308,NOM ADJ PRP DET:ART NOM PRP DET:ART NOM KON PRP:det NOM ADJ PRP:det NAM,1
5309,NOM ADJ PRP DET:ART NOM PRP DET:ART NOM KON PRP:det NOM ADJ PRP:det NAM PRP NAM,1
5310,ADJ NOM PRO:PER NAM ADJ NOM NOM NAM PUN VER:simp PUN,1
5311,NOM ADJ ADJ PRP DET:ART NOM KON DET:ART ADJ NOM PRP NOM,1
5312,NOM ADJ PRP DET:ART NOM KON DET:ART ADJ NOM PRP NOM,1
5313,NOM ADJ PRP DET:ART NOM KON DET:ART ADJ NOM PRP NOM PRP:det VER:simp,1
5315,NOM ADJ PRP DET:ART NOM KON DET:ART ADJ NOM PRP NOM PRP:det NAM PRP NAM,1
5820,NOM PRP DET:ART NAM PRP:det NAM PRP NAM,1
5316,ADJ NOM ADJ ADJ NOM NAM NAM PUN VER:simp PUN,1
5318,NOM ADJ ADJ PRP NOM ADJ KON ADJ PRP:det VER:simp,1
5319,NOM ADJ PRP NOM ADJ KON ADJ PRP:det NAM,1
5320,NOM ADJ PRP NOM ADJ KON ADJ PRP:det NAM PRP NAM,1
5322,NOM ADJ ADJ PRP:det NOM PRP DET:ART NOM ADJ,1
5323,NOM ADJ PRP:det NOM PRP DET:ART NOM ADJ PRP:det VER:simp,1
5767,NOM PRP NOM VER:cond VER:pper PRP DET:ART NOM,1
5324,NOM ADJ PRP:det NOM PRP DET:ART NOM ADJ PRP:det NAM,1
5325,NOM ADJ PRP:det NOM PRP DET:ART NOM ADJ PRP:det NAM PRP NAM,1
5766,NAM VER:futu VER:pper PRP DET:ART NOM,1
5770,NOM PRP:det NOM ADJ PRP NOM PRP:det NOM ADJ,1
5304,ADJ NOM ADJ NAM NAM NOM NAM NAM PUN VER:simp PUN,1
5303,NOM ADJ PRP NOM ADJ KON PRP NOM PRP:det NAM PRP NAM,1
5302,NOM ADJ PRP NOM ADJ KON PRP NOM PRP:det NAM,1
5278,NOM ADJ PRP DET:ART NOM PRP NOM KON DET:ART NOM PRP:det NAM,1
5279,NOM ADJ PRP DET:ART NOM PRP NOM KON DET:ART NOM PRP:det NAM PRP NAM,1
5280,ADJ NOM PRO:PER NAM VER:pres PUN VER:simp PUN,1
5281,NOM ADJ PRP DET:ART NOM PRP NOM PRP:det NAM,1
5282,NOM ADJ PRP DET:ART NOM PRP NOM PRP:det NAM PRP NAM,1
5286,ADJ NOM ADJ NAM ADJ NOM NAM PUN VER:simp PUN,1
5287,NOM ADJ ADJ PRP DET:ART NOM KON PRP:det NOM ADJ,1
5288,NOM ADJ PRP DET:ART NOM KON PRP:det NOM ADJ PRP:det VER:simp,1
5289,NOM ADJ PRP DET:ART NOM KON PRP:det NOM ADJ PRP:det NAM,1
5290,NOM ADJ PRP DET:ART NOM KON PRP:det NOM ADJ PRP:det NAM PRP NAM,1
5291,ADJ NOM ADJ VER:simp NOM NAM NOM NAM NAM PUN VER:simp PUN,1
5292,NOM ADJ ADJ PRP DET:ART NOM PUN PRP:det NOM PRP DET:ART NOM KON PRP DET:ART NOM ADJ,1
5293,NOM ADJ PRP DET:ART NOM PUN PRP DET:ART NOM ADJ KON PRP:det NOM PRP DET:ART NOM,1
5294,NOM ADJ PRP DET:ART NOM PUN PRP:det NOM PRP DET:ART NOM KON PRP DET:ART NOM ADJ,1
5295,NOM ADJ PRP DET:ART NOM PUN PRP:det NOM PRP DET:ART NOM KON PRP DET:ART NOM ADJ PRP:det VER:simp,1
5296,NOM ADJ PRP DET:ART NOM PUN PRP:det NOM PRP DET:ART NOM KON PRP DET:ART NOM ADJ PRP:det NAM,1
5297,NOM ADJ PRP DET:ART NOM PUN PRP:det NOM PRP DET:ART NOM KON PRP DET:ART NOM ADJ PRP:det NAM PRP NAM,1
5298,ADJ NOM ADJ NAM NAM NOM NAM PUN VER:simp PUN,1
5299,NOM ADJ ADJ PRP NOM ADJ KON PRP NOM,1
5300,NOM ADJ PRP NOM ADJ KON PRP NOM,1
5301,NOM ADJ PRP NOM ADJ KON PRP NOM PRP:det VER:simp,1
5764,ADJ PRP NOM PRP NOM PRP NAM,1
5326,ADJ NOM ADJ ADJ NOM ADJ ADJ NAM NAM PUN VER:simp PUN,1
5327,NOM ADJ ADJ PRP:det NOM PUN PRP:det NOM ADJ KON ADJ,1
5748,VER:futu PUN NOM ADJ NAM PUN,1
5744,VER:pres VER:pper ADJ,1
5743,NOM VER:pper PRP:det NOM ADJ NAM,1
5355,NOM NUM KON NUM PRP:det NOM NOM VER:subi,1
5742,NOM VER:pper PRP:det NOM ADJ PRP DET:ART NOM ADJ,1
5357,ADJ NOM NOM NOM NAM,1
5358,ADJ ADJ NOM NOM NOM NAM,1
5360,NAM NOM NOM NAM NAM NOM,1
5741,NOM PRP NOM ADJ PRP DET:ART NOM KON DET:ART NOM,1
5740,NOM ADJ PRP DET:ART NOM KON DET:ART NOM,1
5739,NOM PRP NOM ADJ PRP DET:ART NOM PUN DET:ART NOM KON DET:ART NOM,1
5738,NOM ADJ PRP DET:ART NOM PUN DET:ART NOM KON DET:ART NOM,1
5737,ADJ PRP NOM NOM,1
5369,NAM NOM NOM PUN NAM NOM PRP,1
5735,NOM ADJ PRP NOM ADJ NUM,1
5370,NOM NOM NOM ADJ PRP NOM PRP,1
5371,NOM NOM ADJ PRP NOM PRP,1
5372,NAM NOM NOM PUN NAM VER:pres ABR,1
5734,NAM PUN NOM NAM PRP:det NOM PUN,1
5373,NOM NOM NOM ADJ PRP NOM ABR,1
5374,NOM NOM ADJ PRP NOM ABR,1
5732,NOM VER:ppre PRP DET:ART NOM PRP DET:ART NOM PRP DET:ART ADJ,1
5745,ADJ PRP NOM PRP NOM PRP DET:ART NOM,1
5750,VER:cond NOM NOM NOM NUM,1
5328,NOM ADJ PRP:det NOM PUN PRP:det NOM ADJ KON ADJ,1
5756,NOM ADJ PRP DET:ART NOM ADJ KON DET:ART NOM ADJ,1
5329,NOM ADJ PRP:det NOM PUN PRP:det NOM ADJ KON ADJ PRP:det VER:simp,1
5330,NOM ADJ PRP:det NOM PUN PRP:det NOM ADJ KON ADJ PRP:det NAM,1
5331,NOM ADJ PRP:det NOM PUN PRP:det NOM ADJ KON ADJ PRP:det NAM PRP NAM,1
5763,NOM VER:pper PRP PRP ADJ NOM,1
5332,NOM ADJ PRP:det NOM ADJ ADJ PRP:det VER:simp,1
5333,NOM ADJ PRP:det NOM ADJ ADJ PRP:det NAM,1
5334,NOM ADJ PRP:det NOM ADJ ADJ PRP:det NAM PRP NAM,1
5335,NOM ADJ ADJ PRP NOM PRP NOM NOM,1
5336,NOM ADJ PRP NOM PRP NOM NOM PRP:det VER:simp,1
5759,NOM PRP NOM NOM VER:pper PRP DET:ART NOM,1
5337,NOM ADJ PRP NOM PRP NOM NOM PRP:det NAM,1
5338,NOM ADJ PRP NOM PRP NOM NOM PRP:det NAM PRP NAM,1
5341,NOM NOM NOM PRP NOM PRP NOM NAM,1
5342,NAM NAM PUN NAM PUN NAM NOM,1
5343,NAM NOM NOM PUN NAM NAM,1
5344,NAM NOM NAM NAM NAM ADJ PUN VER:simp PUN,1
5345,NOM NOM NAM NOM KON NAM NAM PUN VER:simp PUN,1
5346,NOM PRP NOM NAM NOM KON NAM NAM PUN VER:simp PUN,1
5757,ADJ PRP NOM ADJ PRP:det NOM,1
5347,NOM PRP NOM ADJ ADJ NOM KON NAM NAM PUN VER:simp PUN,1
5349,NOM PRP NOM NOM PRP DET:ART NAM ADJ PRP:det NAM,1
5277,NOM ADJ PRP DET:ART NOM PRP NOM KON DET:ART NOM PRP:det VER:simp,1
5773,NOM ADJ NOM PRP DET:ART NOM ADJ,1
5276,NOM ADJ PRP DET:ART NOM PRP NOM KON DET:ART NOM,1
5199,ADJ NOM PRP DET:ART NOM PRP NOM PRP NOM NUM,1
5203,NOM ADJ ADJ PRP ADJ NOM ADJ,1
5808,NOM ABR PRP DET:ART NOM PRP:det NOM,1
5204,ADJ NOM PRP:det NOM NAM PRP NOM NUM,1
5205,ADJ PRP NOM PRP NOM PRP:det NOM,1
5806,NOM ABR PRP DET:ART NOM ADJ ADJ,1
5208,NOM ADJ PUN NOM ADJ PRP:det NOM PRP NOM ADJ PUN,1
5210,NAM NAM ABR,1
5211,NOM ABR VER:pper,1
5805,VER:pres PRP DET:ART NOM PRP:det NOM NAM,1
5804,NOM NOM ADJ PRP DET:ART NOM ADJ,1
5803,NOM NOM ADJ PRP DET:ART NOM PRP:det NOM,1
5802,NOM PRP:det NOM PRP NOM PRP DET:ART NAM,1
5801,NOM PRP:det NOM ADJ PRP DET:ART NAM,1
5797,NOM PRP DET:ART NOM NUM NOM,1
5796,NAM PUN NOM PRP NOM PRP:det ADJ PUN,1
5220,NOM ABR ADJ PRP:det NOM ADJ,1
5795,NOM PRP:det NOM PRP DET:ART ADJ NOM PRP NOM DET:ART NOM ADJ,1
5222,NOM ABR VER:pper ADV ADJ,1
5223,ADV PRP:det NOM ADJ,1
5224,VER:pres NOM ABR,1
5794,NOM PRP:det NOM PRP DET:ART ADJ NOM PRP:det NOM PRP DET:ART NOM ADJ,1
5202,NOM PRP NOM PRP:det NOM PRP NOM PRP NOM,1
5810,NOM PRP NOM NAM PRP:det NOM,1
5227,NAM NAM ADV ADJ PRP:det NOM,1
5811,VER:pper PRP DET:ART NOM NAM,1
5818,NOM PRP DET:ART NAM PRP:det VER:simp,1
5176,NOM VER:ppre PRP:det NOM ADJ PRP DET:ART NOM,1
5177,VER:pper PRP NOM NOM,1
5178,NOM PRP NAM ADJ PRP DET:ART NOM NOM,1
5179,NAM VER:simp ADJ,1
5817,NAM PUN NAM VER:pper PRP NAM PUN,1
5180,NOM ADJ PRP NOM PRP NOM PRP DET:ART NOM PRP:det NOM,1
5181,NAM PUN NOM ADJ ADJ PRP DET:ART NOM PUN,1
5182,NOM ADJ ADJ PRP DET:ART ADJ ADJ,1
5816,NAM VER:pper PRP NAM,1
5183,NOM VER:ppre PRP:det NOM VER:pper PRP:det NOM ADJ,1
5814,DET:ART NAM,1
5184,NOM PRP DET:ART NOM NAM PRP:det ADJ NOM ADJ,1
5185,NOM VER:pper PRP:det NOM ADJ PRP NOM NUM,1
5186,NOM VER:ppre DET:ART NOM PRP:det NOM NOM,1
5192,NAM NAM ADJ ADJ KON NOM ADJ,1
5193,NAM NAM NOM PRP NOM ADJ,1
5813,NOM PRP DET:ART NOM PRP:det NOM KON DET:ART NOM ADJ,1
5197,NOM ADJ VER:pres ADJ NAM ADJ,1
5812,ADJ NOM ADJ NAM NAM NAM PUN VER:simp PUN,1
5198,ADJ NOM PRP DET:ART NAM,1
5226,NOM ABR ADV ADJ PRP:det NOM,1
5793,NOM PRP DET:ART NOM PRP DET:ART ADJ NOM,1
5275,NOM ADJ ADJ PRP DET:ART NOM PRP NOM KON DET:ART NOM,1
5251,NOM PRP DET:ART NOM PRP NAM PRP:det NAM,1
5253,NOM VER:pper PRP DET:ART NOM ADJ PRP NOM PRP NOM PRP DET:ART NOM,1
5255,NOM ADJ VER:pper PRP DET:ART NOM ADJ PRP NOM PRP DET:ART NOM PRP:det NAM PRP NAM,1
5256,NOM ADJ VER:pper PRP DET:ART NOM ADJ PRP NOM PRP:det NOM PRP:det NAM,1
5257,NOM ADJ PRP NOM PRP DET:ART NOM PRP NOM PRP DET:ART NOM PRP:det VER:simp,1
5258,NOM ADJ PRP DET:ART NOM PRP:det NOM PRP DET:ART NOM PRP:det VER:simp,1
5259,NOM PRP NOM ADJ ADJ PRP:det NOM ADJ,1
5260,NOM NAM PUN NAM PUN NOM NAM NAM PUN VER:simp PUN,1
5261,NOM ADJ ADJ PRP:det NOM PUN PRP:det NOM KON PRP:det NOM,1
5779,NOM ABR VER:pper PRP DET:ART NOM,1
5262,NOM ADJ PRP:det NOM PUN PRP:det NOM KON PRP:det NOM,1
5263,NOM ADJ PRP:det NOM PUN PRP:det NOM KON PRP:det NOM PRP:det NAM PRP NAM,1
5264,NOM ADJ PRP:det NOM PUN PRP:det NOM KON PRP:det NOM PRP:det VER:simp,1
5265,NOM ADJ PRP:det NOM PUN PRP:det NOM KON PRP:det NOM PRP:det NAM,1
5266,NOM NOM NOM PRP NOM ADJ,1
5267,NAM NOM NOM PUN NOM,1
5268,NOM ADJ PRP NOM PRP DET:ART NOM ADJ PRP:det VER:simp,1
5269,NOM ADJ PRP NOM PRP DET:ART NOM ADJ PRP:det NAM,1
5270,NOM ADJ PRP NOM PRP DET:ART NOM ADJ PRP:det NAM PRP NAM,1
5271,ADJ NOM PRO:PER NAM PUN VER:simp PUN,1
5272,NOM ADJ ADJ PRP DET:ART NOM PRP:det VER:simp,1
5274,ADJ NOM PRO:PER NAM VER:pres NOM NAM PUN VER:simp PUN,1
5252,NOM ADJ ADJ NAM NAM NAM PUN VER:simp PUN,1
5250,NOM PRP NOM PRP NAM PRP NUM PRP:det NAM,1
5229,NAM NOM ABR VER:simp,1
5780,NOM PRP DET:ART NOM ADJ NOM PRP DET:ART NOM ADJ,1
5789,ADJ NAM ADV NOM,1
5233,NOM NOM NOM ABR,1
5234,NOM ABR PRP:det NOM NOM,1
5235,NAM NOM ABR ADJ,1
5236,NOM KON NOM PRP:det ADJ NOM,1
5237,NOM PRP DET:ART NOM ADJ PRP:det NOM KON PRP:det ADJ NOM ADJ,1
5238,NOM PRP DET:ART NOM ADJ PRP:det NOM KON PRP:det ADJ NOM,1
5239,NOM PRP NOM KON PRP NOM PRP:det ADJ NOM,1
5240,NOM PRP PUN NUM PUN PRP:det NOM NUM,1
5242,ADJ NOM PRP ADJ NOM PRP DET:ART NOM,1
5243,NOM NAM PRP DET:ART NOM PRP NOM PUN VER:simp PUN,1
5244,NOM NAM PRP:det NOM VER:pper PRP NOM PUN VER:simp PUN,1
5245,NOM PRP NOM NAM PRP:det NOM VER:pper PRP NOM PUN VER:simp PUN,1
5784,NOM PRP NOM PRP DET:ART NOM ADJ ADJ PRP:det NOM,1
5783,NOM PRP NOM PRP DET:ART NOM ADJ ADV VER:pper PRP DET:ART NOM,1
5246,NAM NAM NOM NAM NAM NAM ADJ NOM ADJ NOM NUM PUN VER:simp PUN,1
5782,NOM PRP NOM PRP NOM PRP NOM NUM,1
5247,NAM NOM NAM NAM NOM NAM NAM NOM NUM PUN VER:simp PUN,1
5781,NOM NOM PRP DET:ART NOM ADJ PRP NOM NUM,1
5248,NOM PRP NUM PRP DET:ART NOM KON DET:ART NOM PRP DET:ART NOM PRP NOM PRP DET:ART NOM PRP:det NOM NAM PRP:det NAM NOM,1
5249,NOM PRP NUM PRP DET:ART NOM PRP:det NOM NAM PRP:det NAM,1
5375,NAM NOM NOM PUN NAM NOM NUM,1
5376,NOM NOM NOM VER:simp,1
5377,NAM NAM NOM NOM VER:simp,1
5522,NOM ADJ PRP ADJ NOM ADJ NAM,1
5525,NAM DET:POS,1
5646,NAM PUN NOM ADJ VER:ppre PUN,1
5528,VER:pres PRP PRO:IND NOM,1
5529,NOM PUN ADJ NOM ADJ PUN,1
5645,NAM PUN NOM PRP NOM NOM PUN,1
5530,NOM VER:pper PRP DET:ART NAM PUN,1
5533,NOM PRP DET:ART NOM PRP:det NOM PRP NOM VER:ppre ADJ,1
5641,NOM PUN NOM ADJ VER:pper KON NOM ADJ,1
5535,ADJ PRP NOM ADJ VER:pper,1
5536,ADJ PRP NOM PRP NOM NAM,1
5639,NOM PRP NAM NAM PRP NOM ADJ,1
5538,NOM PRP NOM ADJ ADJ VER:pper PRP DET:ART NOM,1
5637,NOM VER:pper PRP:det NOM NOM PRP:det NOM ADJ,1
5636,NOM VER:pper PRP:det NOM NOM PRP:det NOM,1
5540,NOM PRP NOM ADJ PRP:det NOM VER:pper PRP DET:ART NOM,1
5635,ADJ PUN NOM PRP NOM PRP:det NOM PUN,1
5634,NAM VER:pres VER:pper NOM ADJ NOM,1
5632,NOM ADJ PUN ADJ PUN ADJ PUN ADJ KON ADJ,1
5630,NOM NUM PRP:det NOM PRP NOM PRP DET:ART NOM,1
5541,NOM ADJ VER:pper PRP:det NOM PRP NOM NUM,1
5628,NOM ADJ ADJ VER:pper PRP PRP:det NOM ADJ KON PRP:det NOM,1
5523,NOM ADJ ADJ NOM ADJ PRP NOM,1
5521,NOM ADJ NOM PRP ADJ NOM ADJ,1
5627,NOM ADJ ADJ VER:pper PRP PRP:det NOM KON PRP:det NOM ADJ,1
5647,NOM PRP NAM PUN NAM NAM NOM PUN,1
5492,NOM PRP VER:infi PRP NOM PRP DET:ART NOM,1
5661,NOM VER:pper PRP:det NOM ADJ PRP NOM VER:pper PRP DET:ART NUM,1
5493,NOM PRP VER:infi PRP NOM NUM,1
5660,NOM VER:pper PRP:det NOM ADJ PRP NOM VER:pper PRP:det NOM NUM,1
5659,NOM VER:pper PRP:det NOM ADJ VER:pper PRP:det NOM NUM,1
5496,ADJ ADJ NOM PRP:det NOM PUN PRP:det NOM KON PRP:det NOM,1
5658,NOM VER:pper PRP:det NOM ADJ VER:pper PRP DET:ART NUM,1
5499,NOM ADJ PRP DET:ART ADJ ADJ NOM,1
5500,VER:infi VER:pper PRP NOM ADJ,1
5501,NOM PRP DET:ART NOM ADV,1
5502,ABR PUN NOM ADJ NOM PUN,1
5504,NOM VER:ppre PRP:det NOM PRP NOM KON ADJ,1
5505,ADJ NOM ADJ VER:pres,1
5506,ADJ VER:pper PRP:det NOM,1
5652,NOM ADJ ADJ PRP NOM PRP:det NOM ADJ,1
5511,NOM PRP NOM NOM PRP VER:infi,1
5513,NOM PRP VER:infi PRP NOM NAM,1
5514,NAM PUN NOM VER:pper PRP:det NOM PUN,1
5515,NOM PRP NOM ADJ PRP ADJ,1
5648,NOM ADJ PRP:det NOM PRP:det NOM PRP DET:ART NOM,1
5518,NAM PRP NUM PUN NUM NOM,1
5542,NOM PRP NOM VER:ppre ADJ NOM,1
5543,NOM PRP PRP NOM PRP DET:ART NOM ADJ,1
5490,NOM PRP VER:infi ADJ VER:ppre,1
5612,NOM ADJ PRP:det NOM ADJ KON PRP:det NOM ADJ PRP:det VER:simp,1
5577,NOM NUM PRP:det ADJ NOM PRP:det NOM NAM,1
5610,NOM ADJ ADJ PRP:det NOM ADJ KON PRP:det NOM ADJ,1
5609,ADJ NOM ADJ NOM ADJ ADJ NOM PUN VER:simp PUN,1
5606,NOM PRP NOM VER:pper PRP DET:ART NOM NOM,1
5581,ADJ PRP PRP:det NOM NAM,1
5605,NOM KON NOM PRP:det ADJ,1
5582,NOM PRP NOM ADJ PUN NOM ADJ KON NOM PRP:det ADJ NOM,1
5584,NOM PRP DET:ART NOM ADJ KON PRP:det NOM ADJ,1
5604,NOM KON VER:infi PRP ADJ,1
5603,VER:infi PRP ADJ,1
5586,NOM PUN NOM ADJ NAM PUN,1
5587,NOM PRP NOM NAM PUN NAM NAM NAM PRO:PER PUN,1
5602,VER:infi KON NOM PRP NOM,1
5588,NAM PUN NAM NAM NAM PRO:PER PUN NAM NAM,1
5601,ADJ PRP NOM VER:ppre DET:ART NOM,1
5600,NOM PRP DET:ART NOM VER:ppre DET:ART NOM,1
5599,NOM NAM PRP NOM PRP NOM NAM,1
5598,NOM NOM PRP NOM PRP NOM NAM,1
5597,NOM ADJ NOM PRP:det NOM NOM,1
5593,NOM PRP NOM NAM PRP:det NOM NUM,1
5596,NOM PRP NOM NAM PRP:det NOM NOM,1
5611,NOM ADJ PRP:det NOM ADJ KON PRP:det NOM ADJ,1
5576,NOM NUM PRP:det NOM PRP NOM NOM PRP:det NOM NAM,1
5544,NOM NAM VER:pper PRP DET:ART NOM ADJ,1
5575,NOM NUM PRP:det NOM PRP NOM NOM PRP NOM NOM,1
5545,NOM VER:pper PRP DET:ART NOM PRP NOM PRP DET:ART NAM,1
5548,NOM NAM PUN PRP DET:ART ADJ NOM ADJ,1
5624,NAM VER:futu PRP DET:ART NOM,1
5623,NOM NOM PRP:det NOM ADJ NAM,1
5621,NOM VER:ppre DET:ART ADJ NOM ADJ,1
5553,NOM NAM PRP NUM PUN NUM NOM PRP DET:ART ADJ NOM ADJ,1
5555,NOM NAM PUN PUN PRP DET:ART ADJ NOM ADJ,1
5556,NOM NAM PUN ADJ NAM NAM PUN,1
5557,NOM ADJ ADJ KON ADJ VER:pper PRP DET:ART NUM,1
5620,NOM VER:ppre PRP DET:ART NOM PRP:det NOM,1
5558,NOM ABR PRP NOM NAM,1
5619,NAM ADJ NOM SENT VER:pper,1
5617,ADJ NOM NOM KON NOM,1
5616,NOM VER:pper PRP DET:ART KON,1
5564,NOM PRP NOM NOM ADJ PRP NOM NOM,1
5565,NOM PRP PRP:det NOM PRP NOM NOM PRP NOM NOM,1
5615,NOM VER:pper PRP:det KON,1
5566,NOM PRP PRP:det NOM PRP NOM NOM PRP:det NOM NAM,1
5614,NOM ADJ PRP:det NOM ADJ KON PRP:det NOM ADJ PRP:det NAM PRP NAM,1
5567,NOM PRP PRP:det ADJ NOM PRP:det NOM NAM,1
5613,NOM ADJ PRP:det NOM ADJ KON PRP:det NOM ADJ PRP:det NAM,1
5491,NOM PRP VER:infi VER:pper PRP PRP:det NOM PRP DET:ART NOM,1
5662,NOM ADJ ADJ VER:pper PRP NOM VER:pper PRP DET:ART NUM,1
5731,NAM NOM PUN NAM NOM ADJ NOM ADJ PUN VER:simp PUN,1
5715,NAM NOM NAM NOM NAM NOM NAM NAM NAM PUN VER:simp PUN,1
5405,NAM NOM NUM PUN NAM NAM NAM PUN VER:simp NAM,1
5406,NOM ADJ PRP DET:ART NOM ADJ NAM PRP DET:ART NOM VER:simp,1
5713,NAM NAM NAM NAM NAM NOM NUM PUN VER:simp PUN,1
5411,NAM NOM NUM PUN NAM VER:pres PRP PUN VER:simp NAM,1
5413,NOM VER:pper PRP DET:ART ADJ NOM PRP NOM NUM,1
5415,NOM PRP NOM NUM VER:pper PRP DET:ART NAM,1
5712,NOM PRP DET:ART NOM ADJ KON DET:ART NOM PRP:det NAM,1
5711,NOM ADJ PRP DET:ART NOM ADJ KON DET:ART NOM,1
5710,NAM NAM NOM NAM NAM PUN VER:simp PUN,1
5422,NAM NOM ADJ NAM PUN VER:simp PUN,1
5423,NOM ABR ADJ PRP DET:ART NAM ADJ,1
5425,NAM NAM ADJ PRP NOM ADJ NAM,1
5426,NOM PRP:det NOM ADJ PRP NAM PRP NOM NUM,1
5708,NOM PRP:det NOM PRP DET:ART NOM ADJ PRP NAM PRP DET:ART NOM NUM,1
5427,NAM NAM NAM PUN NOM NUM PUN VER:simp NOM,1
5705,ADJ NOM NUM VER:pper PRP:det ADJ NAM,1
5428,NOM ADJ PRP DET:ART NAM NOM ADJ,1
5704,NOM PRP DET:ART NOM PRP NOM PRP DET:ART NOM KON NOM,1
5703,NOM PRP DET:ART NOM PRP NOM ADJ KON NOM,1
5702,NOM ADJ VER:pper PRP DET:ART NOM PRP NAM,1
4217,VER:simp PRP DET:ART NAM,1
5714,NAM NOM NAM NAM NOM NAM NOM NAM NOM NAM NAM NAM PUN VER:simp PUN,1
5716,NAM NAM NOM NOM NOM NAM NAM NOM NUM PUN VER:simp PUN,1
5431,NOM NOM PRP DET:ART NAM NOM,1
5717,NOM ADJ PRP NUM PRP DET:ART NOM NOM PRP:det NOM,1
5730,NOM ADJ KON ADJ NOM PRP NOM,1
5729,NOM ADJ KON ADJ VER:pper PRP NOM,1
5728,PRP:det PUN NOM ADJ PRP NOM PUN,1
5727,NOM PUN NUM PUN NAM NOM NAM,1
5726,NAM NAM PUN NAM PUN NUM PUN NAM PUN,1
5725,NOM NOM ADJ PRP NOM ADV ADJ,1
5382,NAM NOM NAM NAM NOM NOM,1
5724,NOM PRP NOM ADJ PRP NOM ADV ADJ,1
5383,ADJ NAM NAM NOM NUM,1
5384,NAM PUN NOM NOM PRP NOM NUM PUN,1
5723,NAM NAM NAM PUN NOM PUN,1
5722,NOM VER:pper PRP PRP:det ADJ NOM,1
5387,NOM ADJ PRP DET:ART NOM NOM PRP NOM NAM,1
5721,NOM ADJ PRP NOM VER:pper PRP:det NOM NUM,1
5393,NOM NOM NOM PRP NOM NUM NOM,1
5394,NAM NOM NUM PUN NAM NAM PUN ADJ,1
5395,NOM ADJ PRP DET:ART NOM ADJ PRP DET:ART NOM VER:simp,1
5397,NOM ADJ PRP DET:ART NOM ADJ PRP DET:ART NOM NOM PRP NOM NAM,1
5398,NAM NOM NUM PUN NAM VER:pres PRP PUN NOM NAM,1
5720,NAM PUN ADJ NOM VER:pper PUN,1
5719,NOM ADV ADJ ADJ NOM,1
5701,NOM PRP:det NOM NUM PRP DET:ART NOM PRP:det NOM ADJ,1
5700,NOM NAM ADJ PRP DET:ART NOM PRP NOM ADJ,1
5486,NOM PRP:det NOM PRP NAM NAM,1
5459,NOM ADJ PRP:det NOM NOM NAM ADJ,1
5678,DET:POS PUN NOM ADJ ADJ PUN,1
5465,NOM ADJ NOM PRP DET:ART NOM NAM ADJ,1
5677,NOM INT NAM,1
5466,NOM ADJ NOM PRP DET:ART NOM ADJ PRP DET:ART NAM ADJ,1
5674,NOM NAM PRP:det NOM KON PRP:det NOM,1
5467,NOM ADJ NOM PRP DET:ART NOM ADJ PRP DET:ART NAM,1
5673,NOM PRP NOM ADJ PRP:det NOM ADJ PRP:det NOM PRP:det NOM ADJ,1
5672,NAM NAM NOM NOM NAM NAM,1
5671,NOM KON NOM PRP NOM PRP DET:ART NOM ADJ,1
5670,NOM KON NOM PRP NOM PRP:det NOM ADJ,1
5669,VER:ppre ADJ PRP:det NOM,1
5472,NOM PRP NOM PRP:det NOM NOM PRP,1
5473,NOM PRP NOM PRP NOM NOM PRP,1
5668,NAM PUN NAM NAM NAM NAM NUM PUN,1
5475,NOM VER:pper PRP PRP:det ADJ NOM PRP:det NOM NAM,1
5476,NOM PRP ADJ NOM PRP:det NOM NAM,1
5477,NOM SENT VER:pper,1
