,Structure,Fréquence
1183,ADJ NOM PRP,12
1303,NOM ADJ ADJ ADV ADJ,12
675,NOM VER:pper PRP:det NOM PRP DET:ART NOM,12
420,NAM NOM NOM NAM,12
2720,NOM PRP:det NOM PRP NOM PRP DET:ART NOM,12
382,VER:cond NOM,12
96,DET:ART NOM PRP DET:ART NOM,12
502,NOM ABR NUM,12
1739,NOM PRO:PER VER:ppre PRP DET:ART NOM,12
923,NOM NAM PRP NAM,12
1363,NOM PUN ADJ PUN ADJ,12
2100,NOM PRP:det NOM PRP:det NAM,12
4900,NOM ADJ PRP DET:ART NOM PRP NOM NUM,12
1370,NOM PRP:det NOM ADJ KON ADJ,12
4581,NOM ABR VER:pper PRP:det NOM NAM,12
1808,NOM PRP DET:ART NOM ADJ PRP:det NAM,12
3057,NOM PRP:det NOM PRP:det NOM NOM PRP:det NOM NAM,12
1506,NOM PRP:det NOM ADJ PRP NAM,12
445,NAM VER:ppre DET:ART NOM ADJ KON PRP:det NOM ADJ,12
811,NOM PRP NOM PRP NOM PRP DET:ART NOM,12
1009,NOM ADJ ADJ VER:pper PRP DET:ART NUM,12
2748,NOM PRP NOM ADJ ADJ ADJ,12
788,NOM ADJ PRP NAM NAM,12
2425,NOM VER:pper PRP DET:ART NAM,12
3662,NOM NAM PRP NOM PRP:det NOM,12
2401,NOM PRP NOM PRP:det NOM ADJ PRP:det NOM,11
3387,NOM ADJ PRP:det NOM ADJ ADJ PRP NOM NUM,11
1227,NAM PRP:det NOM,11
2378,NOM NOM ADJ PRP:det NAM,11
359,NOM PRP NOM VER:pper PRP PRP:det NOM,11
1223,NOM VER:pper PRP DET:ART NUM,11
2050,NAM NAM NOM NOM NUM,11
654,NOM VER:ppre DET:ART NOM NAM,11
1204,NAM PUN NOM PRP DET:ART NOM ADJ PUN,11
1565,NOM PRP DET:ART NOM PUN NOM PUN,11
1551,NUM PUN NAM PUN NAM,11
5217,NOM ABR PRP:det NOM NAM,11
53,ABR ADJ,11
951,ADJ NOM ADJ PRP:det NOM,11
4148,NOM PRP NOM NAM PRP:det NOM ADJ,11
971,NOM ADJ PRP DET:ART ADJ,11
3065,NOM NOM ADJ PRP NOM ADJ,11
836,NOM NOM PRP NOM NOM,11
827,NAM NAM PRP NOM NAM,11
141,ADJ NOM NOM ADJ,11
783,NAM PUN NAM NOM NOM PUN,11
1026,NOM NAM PRP:det NOM NAM,11
778,NAM PUN NOM NOM ADJ PUN,11
3148,NOM ADJ NOM PUN ADJ PUN,11
4845,NOM VER:pper PRP:det ADJ NOM PRP:det NOM NAM,11
1894,NAM PUN NOM ADJ NOM PUN,11
1079,NOM NAM PRP NOM PRP DET:ART NOM,11
386,NOM PRP:det NOM VER:pper ADJ,11
1953,ABR NOM,11
237,NOM PRP NOM PRP NOM KON PRP NOM,11
705,NAM VER:pres ADJ NOM,11
696,NAM PUN NOM ADJ VER:pper PUN,11
1154,NOM VER:pper PRP:det NOM NAM,11
1952,NOM PRP NOM VER:pper PRP NOM ADJ,11
4559,NAM NAM NOM NAM,11
1334,NOM PRP:det NAM PRP NOM NUM,11
